City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
463,burang,30.25,81.1667,3.75,29,26,3.11,CN,1698223609
464,paidha,2.4167,30.9855,22.85,72,87,2.18,UG,1698223610
465,magadan,59.5667,150.8,-2.44,84,40,3.91,RU,1698223611
466,cannonvale,-20.2833,148.7,23.66,76,0,2.99,AU,1698223612
467,yambio,4.5721,28.3955,30.1,61,58,0.95,SS,1698223613
468,charters towers,-20.1,146.2667,27.2,46,1,7.59,AU,1698223614
469,sao francisco de paula,-29.4481,-50.5836,11.14,97,90,0.79,BR,1698223615
470,new plymouth,-39.0667,174.0833,14.89,91,75,4.96,NZ,1698223616
471,swan hill,-35.3378,143.5544,11.74,38,63,6.84,AU,1698223617
472,coracora,-15.0333,-73.7833,11.29,70,49,2.13,PE,1698223619
473,pangody,65.85,74.4859,-3.04,90,99,3.8,RU,1698223620
474,kostrzyn nad odra,52.5871,14.6495,11.9,86,100,3.78,PL,1698223621
475,bonthe,7.5264,-12.505,24.36,87,100,3.9,SL,1698223622
476,darwin,-12.4611,130.8418,32.99,53,0,5.14,AU,1698223623
477,gulf shores,30.246,-87.7008,23.37,73,75,6.69,US,1698223624
478,poronaysk,49.2167,143.1167,6.58,74,100,3.9,RU,1698223625
479,turkmenbasy,40.0222,52.9552,18.43,77,100,5.14,TM,1698223626
480,gaspe,48.8334,-64.4819,4.95,100,40,0.0,CA,1698223382
481,malters,47.0363,8.1819,12.76,98,75,1.54,CH,1698223628
482,ust-tsilma,65.441,52.1498,-1.88,80,100,4.47,RU,1698223629
483,mezhdurechensk,53.6942,88.0603,5.99,71,100,2.02,RU,1698223630
484,caleta de carquin,-11.0925,-77.6267,18.75,92,100,3.2,PE,1698223632
485,mossendjo,-2.9506,12.7261,21.82,97,100,1.02,CG,1698223634
486,lazaro cardenas,17.9583,-102.2,25.1,86,100,2.13,MX,1698223635
487,hohoe,7.1518,0.4736,28.56,69,93,0.87,GH,1698223636
488,hunucma,21.0167,-89.8667,26.05,85,90,2.86,MX,1698223637
489,hagi,34.4,131.4167,19.05,76,3,2.58,JP,1698223638
490,terme,41.2092,36.9739,20.96,59,41,3.31,TR,1698223639
491,vuktyl,63.8567,57.3094,-3.83,79,100,4.47,RU,1698223640
492,gomoh,23.8667,86.1667,30.43,44,47,4.22,IN,1698223641
493,mil'kovo,55.6078,37.7956,-0.37,56,7,1.85,RU,1698223642
494,rumbek,6.802,29.6912,33.58,47,56,1.83,SS,1698223643
495,boguchany,58.3814,97.4531,1.03,96,100,4.47,RU,1698223644
496,mirnyy,62.5353,113.9611,-3.2,68,100,5.81,RU,1698223645
497,ar ruways,24.1103,52.7306,32.95,41,93,2.12,AE,1698223646
498,veraval,20.9,70.3667,33.09,38,4,1.05,IN,1698223648
499,port lincoln,-34.7333,135.8667,11.67,50,18,8.74,AU,1698223649
500,koh kong,11.6175,102.9806,28.71,74,98,1.07,KH,1698223650
501,albu kamal,34.45,40.9186,28.11,36,0,2.93,SY,1698223651
502,tshikapa,-6.4167,20.8,30.55,58,98,0.58,CD,1698223652
503,zhezqazghan,47.7833,67.7667,14.32,62,75,10.0,KZ,1698223653
504,jianguang,28.1938,115.7836,21.72,72,100,2.24,CN,1698223654
505,mariinskiy posad,56.115,47.718,-0.48,63,19,3.95,RU,1698223655
506,noumea,-22.2763,166.4572,23.99,92,100,4.86,NC,1698223286
507,rabo de peixe,37.8,-25.5833,20.73,94,75,7.72,PT,1698223657
508,singaparna,-7.3515,108.111,28.51,59,92,3.15,ID,1698223658
509,kawasaki,35.5206,139.7172,21.17,67,75,3.09,JP,1698223659
510,yaren,-0.5472,166.916,28.85,76,28,4.1,NR,1698223660
